trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.95}",30,0,-201.20027343678416,"{0: 17, 1: 3, 2: 4, 3: 4, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.8999999999999999}",25,0,-229.9289167788092,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.05, 'e': 0.8499999999999999}",25,0,-116.91168258085756,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.7999999999999998}",20,0,-78.0886938825482,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.7499999999999998}",20,0,-15.401939813833021,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.6999999999999997}",20,0,-58.77984222611447,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.6499999999999997}",25,0,-127.24810734724774,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.5999999999999996}",20,0,-52.59637402418207,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.05, 'e': 0.5499999999999996}",25,4,9.406533759207463,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.05, 'e': 0.4999999999999996}",25,0,-21.027138141273973,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.4499999999999996}",20,0,-20.66865430789437,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.39999999999999963}",20,5,19.556684338696336,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.34999999999999964}",25,0,-97.58789903559912,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.29999999999999966}",25,0,14.772195431783862,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.24999999999999967}",20,0,-76.73948298355616,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.05, 'e': 0.19999999999999968}",25,0,-31.851856960198234,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.1499999999999997}",20,8,22.905223478880398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.09999999999999969}",20,5,-27.477937163401492,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.05, 'e': 0.049999999999999684}",25,17,3.0248648597205627,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': -3.191891195797325e-16}",25,5,15.277042238685135,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
