trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,14,-121.91346214987483,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",35,0,-205.73562926627596,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-135.62046551324096,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",35,0,-124.16113981895826,"{0: 21, 1: 6, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-93.55826389439325,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,3,-107.27839705298227,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-193.09973953091045,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-47.75953065694066,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-117.75983133843883,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-245.81110269385175,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-132.85207529568174,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",30,0,-159.86077528188326,"{0: 22, 1: 2, 2: 1, 3: 2, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-80.98920584809596,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",30,1,-75.12403840697696,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-171.22328583128555,"{0: 9, 1: 5, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-49.42094868943907,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",35,0,-195.85036347495912,"{0: 23, 1: 3, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",25,0,-52.631828759559816,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
