trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.39378107186138,"{0: 8, 1: 0, 2: 8, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.77069177841037,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.28882151805098,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.07862328814846,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-218.21598623531867,"{0: 21, 1: 1, 2: 8, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.37523606948093,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.7378896625922,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.63791806254135,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.15354972907052,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-63.03376515021765,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.92264418991705,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.66793414487773,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.6834678366789,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.7087175146389,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-278.842890823079,"{0: 12, 1: 5, 2: 7, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-273.3323027661244,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.59074926803156,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.501969004012736,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.5318479843053,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.42637607217506,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.20556786838383,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-135.3943011403638,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,11,-70.14257961751042,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.900687231101145,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.53852974270018,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,2,-112.54829484236127,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-214.60988268206276,"{0: 14, 1: 0, 2: 5, 3: 3, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,4,-178.74328808335775,"{0: 5, 1: 3, 2: 5, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.90245758968902,"{0: 18, 1: 5, 2: 3, 3: 4, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.09137727974354,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
